date,pv
2022-03-28,38489.535648964185
2022-03-29,38394.09759812427
2022-03-30,38478.152625328185
2022-03-31,38677.04791188824
2022-04-01,38562.77846456158
2022-04-04,38831.642134910704
2022-04-05,39208.50454640973
2022-04-06,39479.23403422444
2022-04-07,40305.98749796956
2022-04-08,41582.39888255208
2022-04-11,41625.50590769856
2022-04-12,41057.11576335042
2022-04-13,41028.80962626546
2022-04-14,40865.18458048909
2022-04-19,41237.401739380875
2022-04-20,40910.075247071305
2022-04-21,41036.85765476478
2022-04-22,40271.17342014564
2022-04-25,40070.13965117783
2022-04-26,40374.248102563244
2022-04-27,40863.734079736096
2022-04-28,40728.055551904064
2022-04-29,41302.16073073707
2022-05-02,41019.11471022926
2022-05-03,41279.31411208473
2022-05-04,40696.067926781994
2022-05-05,40461.5164436277
2022-05-06,40290.43076552711
2022-05-09,39899.05949630104
2022-05-10,40259.90925826393
2022-05-11,39827.301813500744
2022-05-12,40062.29150217124
2022-05-13,41091.55698984214
2022-05-16,41469.835923125676
2022-05-17,42045.571709563665
2022-05-18,41239.38898556464
2022-05-19,41180.36595012441
2022-05-20,41687.99943401113
2022-05-23,41959.29179240957
2022-05-24,41514.90211345449
2022-05-25,41494.19637920156
2022-05-27,42678.044330204895
2022-05-30,42313.74752396876
2022-05-31,42094.0502406425
2022-06-01,42242.23925126262
2022-06-02,42313.14934518399
2022-06-03,42302.7922788722
2022-06-07,41934.92168866224
2022-06-08,42017.53701458997
2022-06-09,41728.10570202894
2022-06-10,41134.49257336683
2022-06-13,41027.52067242689
2022-06-14,40675.868083028065
2022-06-15,41348.903683614815
2022-06-16,40540.38198561677
2022-06-17,40890.72935957917
2022-06-20,41157.98957533845
2022-06-21,41462.25111098298
2022-06-22,41851.51615426995
2022-06-23,41048.50278791585
2022-06-27,42567.33732160726
2022-06-28,42174.16846358686
2022-06-29,41734.43031641236
2022-06-30,41087.524341070566
2022-07-01,41499.72677945984
2022-07-04,41512.387334878236
2022-07-05,41085.0426617215
2022-07-06,41950.89440732697
2022-07-07,42775.13528847332
2022-07-08,43151.325974325315
2022-07-11,42892.576195577756
2022-07-12,43152.87443623938
2022-07-13,42767.92987680589
2022-07-14,42817.014631749735
2022-07-15,43051.11913156663
2022-07-18,44457.58928537522
2022-07-19,45283.58718729173
2022-07-20,44791.21637550313
2022-07-21,44158.198541826336
2022-07-22,45133.10448884295
2022-07-25,44948.771531478145
2022-07-26,44514.00693644641
2022-07-27,44962.89399088977
2022-07-28,45779.90602766441
2022-07-29,46576.51980225856
2022-08-01,46435.07981545577
2022-08-02,46189.64692340381
2022-08-03,46165.17994342334
2022-08-04,46288.61640582568
2022-08-05,45896.885097842285
2022-08-08,46447.33575854785
2022-08-09,46166.89461932666
2022-08-10,47003.91263232715
2022-08-11,46823.4139598418
2022-08-12,46903.375323765176
2022-08-15,46823.5364184307
2022-08-16,47605.0478573319
2022-08-17,46882.8721509163
2022-08-18,47564.57568412324
2022-08-19,47078.45289441204
2022-08-22,46018.37436505413
2022-08-23,45976.817060671805
2022-08-24,45989.93740674114
2022-08-25,46286.95564099407
2022-08-26,45492.83926220989
2022-08-29,45230.68311164734
2022-08-30,45294.22234610517
2022-08-31,44716.23568228681
2022-09-01,43235.63838461835
2022-09-02,44849.4169223686
2022-09-05,44089.61050299604
2022-09-06,44149.84495428998
2022-09-07,44278.92953067043
2022-09-08,44650.80633120754
2022-09-09,45221.201468994404
2022-09-12,46405.848887970235
2022-09-13,45382.01330799913
2022-09-14,44746.855944470866
2022-09-15,44834.51763422917
2022-09-16,44129.62877867119
2022-09-19,44018.53916380303
2022-09-20,43931.33112547295
2022-09-21,44495.17639372246
2022-09-22,43426.000147079394
2022-09-23,43106.649797653125
2022-09-26,42826.37225553887
2022-09-27,43298.14657804863
2022-09-28,43576.16596274134
2022-09-29,42353.06302695032
2022-09-30,43391.15811209437
2022-10-03,43561.54895071741
2022-10-04,45416.79773764368
2022-10-05,44585.25233000503
2022-10-06,44489.422648608546
2022-10-07,43424.1727172731
2022-10-10,43284.39171174869
2022-10-11,43302.510585344884
2022-10-12,43427.89594606266
2022-10-13,44151.98717927603
2022-10-14,44247.25957529292
2022-10-17,45692.61561624751
2022-10-18,46699.93920175776
2022-10-19,46630.65582315669
2022-10-20,46844.12514536128
2022-10-21,47179.83253519282
2022-10-24,48143.04820178219
2022-10-25,48478.96179507443
2022-10-26,48509.72467993747
2022-10-27,48634.77276610385
2022-10-28,48798.05581664096
2022-10-31,48328.637603750336
2022-11-01,48400.3463592435
2022-11-02,48404.20259856235
2022-11-03,47973.48989837195
2022-11-04,49137.26261680151
2022-11-07,49789.096012827795
2022-11-08,50372.4434047158
2022-11-09,50283.051795523905
2022-11-10,51461.0298953469
2022-11-11,51954.676009882016
2022-11-14,51797.994804132504
2022-11-15,51597.52207193377
2022-11-16,51098.68056497576
2022-11-17,50740.999000644704
2022-11-18,51233.48667241942
2022-11-21,51211.23234655272
2022-11-22,51684.81051732909
2022-11-23,52062.972313898914
2022-11-24,51969.179955500476
2022-11-25,52004.56535436522
2022-11-28,51481.63574342429
2022-11-29,51587.06203225134
2022-11-30,51699.65638497351
2022-12-01,52183.95050493418
2022-12-02,52031.837429677835
2022-12-05,52261.69846788584
2022-12-06,51720.124287282815
2022-12-07,50862.309025441995
2022-12-08,50793.44910875498
2022-12-09,51380.675053274026
2022-12-12,51312.89783922373
2022-12-13,51981.52731767832
2022-12-14,52060.5846830958
2022-12-15,51069.0011081285
2022-12-16,50264.20455154359
2022-12-19,50313.9274769773
2022-12-20,50074.187484373804
2022-12-21,51016.72522317385
2022-12-22,50323.38917867278
2022-12-23,50725.94354573821
2022-12-27,51097.93099347686
2022-12-28,50700.83097020721
2022-12-29,51208.37126651501
2022-12-30,50377.942971164244
2023-01-02,51312.47469227936
2023-01-03,51685.20984846295
2023-01-04,52228.87151533307
2023-01-05,53001.85862928571
2023-01-09,54456.01853376569
2023-01-10,54033.55639704083
2023-01-11,54513.907356818665
2023-01-12,55138.71787434022
2023-01-13,55181.360003756876
2023-01-16,55407.7862547446
2023-01-17,55195.216224532196
2023-01-18,55614.6669691611
2023-01-19,54467.09643540866
2023-01-20,55640.03603349216
2023-01-23,55859.6962660361
2023-01-24,56103.87544236667
2023-01-25,55962.10197434909
2023-01-26,55658.60744043923
2023-01-27,55979.093387464665
2023-01-30,56058.53132006164
2023-01-31,55919.00219947181
2023-02-01,55770.61838752113
2023-02-02,56821.878242791514
2023-02-03,56982.897861580845
2023-02-06,56593.90250216007
2023-02-07,56665.893133263584
2023-02-08,56610.850677590366
